,MI,RandomForest,LASSO,Variance,BaseScore,Redundancy,FinalScore
worst area,0.9840433852486049,0.891453939166344,1.0,1.0,0.9737325933836621,1.0,0.8237325933836621
worst radius,0.9563153649253382,0.5205444808995868,0.5980184627621565,7.206220689545348e-05,0.5094178781291103,0.5368912945820622,0.428884183941801
worst concave points,0.9245776046197188,0.8267668345675812,0.4128511763236973,1.3307134480140482e-08,0.5050086667907133,0.5947924290787265,0.41578980242890434
mean concave points,0.9299854095006134,0.7063101134793303,0.31593241543679224,4.623102589918804e-09,0.4477859554808064,0.5378458002328459,0.3671090854458795
worst perimeter,1.0,1.0,0.0,0.0034831722494513178,0.41822151983500494,0.45414539408636634,0.35009971072205
radius error,0.5283564163205458,0.060112129678100736,0.7001085783844554,2.3720878077257813e-07,0.3584825618172768,0.3384902074126729,0.30770903070537586
mean area,0.7630162810206789,0.3553273869129929,0.0,0.38203582471543945,0.32531813939443055,0.3243054445932094,0.2766723227054491
worst concavity,0.6681456928854622,0.2454984288155316,0.2645522312059523,1.3424264984252635e-07,0.278963343199722,0.3069373750909383,0.23292273693608123
mean perimeter,0.8527442743056551,0.35469721627589196,0.0,0.0018214061613469896,0.25088488433302536,0.25928328586665733,0.21199239145302676
worst texture,0.25502444285575665,0.09269326239287942,0.41086628557344607,0.00011653385721075841,0.21124876822127467,0.11247230301049042,0.19437792276970112
mean concavity,0.7957041475834131,0.3534712507583714,0.0,1.9583235392408725e-08,0.23845334208854818,0.2948835415343522,0.19422081085839535
mean radius,0.7677899434924724,0.27733771884761294,0.0,3.831018695538821e-05,0.21660072578385176,0.2169705028157139,0.18405515036149467
area error,0.7221884515947072,0.21012904017016937,0.0,0.006383836471579379,0.1945401217426516,0.17594774655855008,0.1681479597588691
worst smoothness,0.20281581037779486,0.06560072892531481,0.2216346193011102,1.5865820085908184e-09,0.1306575363095947,0.08653402387661699,0.11767743272810216
perimeter error,0.584123593395939,0.039571463892205984,0.0,1.2610426045202403e-05,0.12848061569397565,0.12517389854118183,0.10970453091279837
worst compactness,0.47730174497909283,0.09506598004964566,0.0,7.634256310170104e-08,0.11826668341277695,0.12211333062755556,0.09994968381864361
worst symmetry,0.20225989463845623,0.04007911100482032,0.16257342481373457,1.1785830480205271e-08,0.10513501780649515,0.06728132902111394,0.09504281845332806
mean compactness,0.4523533333427719,0.07427352006092516,0.0,8.582559001296455e-09,0.10873400352785915,0.12856007865937807,0.08944999172895245
mean texture,0.20460127923314753,0.07932039932663834,0.08527357325465437,5.706589412728589e-05,0.08775959475096391,0.044973184079156465,0.08101361713909044
compactness error,0.15553959978686283,0.004193077923960828,0.147013281177134,9.677136245697655e-10,0.08265954707676974,0.07470795854977794,0.07145335329430305
concave points error,0.2657976075561707,0.021616089075477365,0.0,9.584779035395166e-11,0.05922638772706079,0.05426925967424758,0.05108599877592365
concavity error,0.24889613645044523,0.014582389297765713,0.0,2.789289076674927e-09,0.05426187721414167,0.042938428024640075,0.04782111301044566
fractal dimension error,0.083153500243043,0.012729762740266142,0.08373136974119182,0.0,0.048151495382473306,0.029926466447898266,0.04366252541528857
mean smoothness,0.1689967026110499,0.029094353930954543,0.0,5.885786710282942e-10,0.04090750006970041,0.030150629912085537,0.03638490558288758
worst fractal dimension,0.13784543269077465,0.016434020840788044,0.0,9.8470019305502e-10,0.03182164238636938,0.022277606572053556,0.028480001400561346
mean symmetry,0.13928528645912006,0.0,0.0,2.296779885459072e-09,0.02863746642805014,0.020808347158945254,0.025516214354208352
smoothness error,0.03317066918509027,0.017618347606947107,0.024993809769033357,6.2110580298265905e-12,0.0190162021919917,0.00801100410864102,0.017814551575695548
symmetry error,0.030128271579331192,0.0009028806530341899,0.0,1.8919610518884019e-10,0.006385663618340764,0.002482107477806458,0.006013347496669795
mean fractal dimension,0.012478762781826944,0.0013560118791924604,0.0,1.3217563889952028e-10,0.0028528316192691656,0.0018076983366739799,0.0025816768687680685
texture error,0.0,0.002849907928096995,0.0,9.387401736798517e-07,0.0006037508505058016,0.0,0.0006037508505058016
